#queryIndex	queryItem	stringId	preferredName	annotation
1	aap	176279.SERP2398	aap	Accumulation associated protein; Identified by match to protein family HMM PF00746; match to protein family HMM PF04650; match to protein family HMM TIGR01167; match to protein family HMM TIGR01168.
2	cysH	176279.SERP2192	cysH	Phosophoadenylyl-sulfate reductase; Reduction of activated sulfate into sulfite. Belongs to the PAPS reductase family. CysH subfamily.
3	dltC	176279.SERP0520	dltC	D-alanyl carrier protein; Carrier protein involved in the D-alanylation of lipoteichoic acid (LTA). The loading of thioester-linked D-alanine onto DltC is catalyzed by D-alanine--D-alanyl carrier protein ligase DltA. The DltC- carried D-alanyl group is further transferred to cell membrane phosphatidylglycerol (PG) by forming an ester bond, probably catalyzed by DltD. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram-positive bacteria, influencing the net charge of the cell wall.
4	dltD	176279.SERP0521	dltD	dltD protein; Identified by match to protein family HMM PF04914; match to protein family HMM PF04915; match to protein family HMM PF04918.
5	ebh	176279.SERP1011	ebh	Cell wall associated fibronectin-binding protein; Identified by similarity to OMNI:SA1472; match to protein family HMM PF01468; match to protein family HMM PF02370; match to protein family HMM PF02524; match to protein family HMM PF04508; match to protein family HMM PF04650; match to protein family HMM TIGR01168.
6	geh-1	176279.SERP2297	geh-1	Lipase; Identified by similarity to GP:2981225; match to protein family HMM PF04650; match to protein family HMM TIGR01168; Belongs to the AB hydrolase superfamily. Lipase family.
7	geh-2	176279.SERP2388	geh-2	Lipase; Identified by similarity to GP:3789932; match to protein family HMM PF04650; match to protein family HMM TIGR01168.
8	gldA	176279.SERP2346	gldA	Glycerol dehydrogenase; Identified by similarity to SP:P32665; match to protein family HMM PF00465.
9	glpD	176279.SERP0868	glpD	Aerobic glycerol-3-phosphate dehydrogenase; Identified by similarity to EGAD:18115; match to protein family HMM PF01224; match to protein family HMM PF01266; Belongs to the FAD-dependent glycerol-3-phosphate dehydrogenase family.
10	glpT	176279.SERP2060	glpT	Glycerol-3-phosphate transporter; Identified by similarity to EGAD:8163; match to protein family HMM PF00083; match to protein family HMM TIGR00712; match to protein family HMM TIGR00881.
11	gltS	176279.SERP1935	gltS	Sodium:glutamate symporter; Catalyzes the sodium-dependent transport of glutamate. Belongs to the glutamate:Na(+) symporter (ESS) (TC 2.A.27) family.
12	icaR	176279.SERP2292	icaR	Intercellular adhesion regulator; Represses transcription of the icaADBC operon necessary for biofilm production.
13	norR	176279.SERP0342	norR	Transcriptional regulator, MarR family; Identified by match to protein family HMM PF01047.
14	rot	176279.SERP1322	rot	Repressor of toxins; Global regulator with both positive and negative effects that mediates modulation of several genes involved in virulence.
15	sarR	176279.SERP1876	sarR	Staphylococcal accessory regulator R; Identified by similarity to EGAD:42500; match to protein family HMM TIGR01889.
16	sarV	176279.SERP1849	sarV	Staphylococcal accessory regulator V; Identified by match to protein family HMM TIGR01889.
17	sarY	176279.SERP1878	sarY	Staphylococcal accessory regulator Y; Identified by similarity to OMNI:NTL01SA2182; match to protein family HMM TIGR01889.
18	sepA	176279.SERP2252	sepA	Extracellular elastase precursor; Extracellular zinc metalloprotease.
19	SERP0018	176279.SERP0018	SERP0018	Lipase, putative; Identified by match to protein family HMM PF04650; match to protein family HMM TIGR01168.
20	SERP0026	176279.SERP0026	SERP0026	sdrF protein, truncation; Identified by match to protein family HMM PF04650; match to protein family HMM TIGR01168.
21	SERP0030	176279.SERP0030	SERP0030	Conserved hypothetical protein; Identified by similarity to OMNI:NTL01SA2428; Belongs to the UPF0346 family.
23	SERP0054	176279.SERP0054	SERP0054	Conserved hypothetical protein; Identified by similarity to OMNI:NTL01SA0377.
24	SERP0055	176279.SERP0055	SERP0055	Hypothetical protein; Identified by Glimmer2; putative.
25	SERP0094	176279.SERP0094	SERP0094	Cysteine synthase/cystathionine beta-synthase family protein; Identified by match to protein family HMM PF00291.
26	SERP0095	176279.SERP0095	SERP0095	Identified by match to protein family HMM PF01053.
27	SERP0196	176279.SERP0196	tarI	4-diphosphocytidyl-2C-methyl-D-erythritol synthase, putative; Catalyzes the transfer of the cytidylyl group of CTP to D- ribitol 5-phosphate.
28	SERP0197	176279.SERP0197	tarJ	Alcohol dehydrogenase, zinc-containing; Catalyzes the NADPH dependent reduction of D-ribulose 5- phosphate to D-ribitol 5-phosphate; Belongs to the zinc-containing alcohol dehydrogenase family.
29	SERP0198	176279.SERP0198	SERP0198	Teichoic acid biosynthesis protein, putative; Identified by match to protein family HMM PF04464.
30	SERP0245	176279.SERP0245	SERP0245	Transporter, putative; Identified by match to protein family HMM PF03176.
31	SERP0275	176279.SERP0275	SERP0275	Conserved hypothetical protein; Identified by similarity to GP:2879913.
32	SERP0343	176279.SERP0343	SERP0343	Hypothetical protein; Identified by Glimmer2; putative.
33	SERP0422	176279.SERP0422	SERP0422	LysM domain protein; Identified by match to protein family HMM PF01476; match to protein family HMM PF05257.
34	SERP0466	176279.SERP0466	SERP0466	Cold shock protein, CSD family; Identified by match to protein family HMM PF00313.
35	SERP0635	176279.SERP0635	SERP0635	Transcriptional regulator, MarR family; Identified by match to protein family HMM PF01047.
36	SERP0719	176279.SERP0719	SERP0719	Cell wall surface anchor family protein; Identified by match to protein family HMM PF00746; match to protein family HMM PF04650; match to protein family HMM TIGR01167; match to protein family HMM TIGR01168.
37	SERP0895	176279.SERP0895	SERP0895	Conserved hypothetical protein; Identified by similarity to GP:14247097.
38	SERP0950	176279.SERP0950	SERP0950	Peptide ABC transporter, ATP-binding protein, putative; Identified by similarity to EGAD:89055; match to protein family HMM PF00005.
39	SERP0954	176279.SERP0954	SERP0954	Conserved hypothetical protein; Identified by similarity to OMNI:SA1418.
40	SERP0956	176279.SERP0956	SERP0956	Phosphate transport system regulatory protein PhoU, putative; Plays a role in the regulation of phosphate uptake.
41	SERP0957	176279.SERP0957	pstB	Phosphate ABC transporter, ATP-binding protein; Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system; Belongs to the ABC transporter superfamily. Phosphate importer (TC 3.A.1.7) family.
42	SERP0958	176279.SERP0958	SERP0958	Phosphate ABC transporter, permease protein; Identified by match to protein family HMM PF00528; match to protein family HMM TIGR00974.
43	SERP0959	176279.SERP0959	SERP0959	Phosphate ABC transporter, permease protein; Part of the binding-protein-dependent transport system for phosphate; probably responsible for the translocation of the substrate across the membrane; Belongs to the binding-protein-dependent transport system permease family. CysTW subfamily.
44	SERP0960	176279.SERP0960	pstS	Phosphate ABC transporter, phosphate-binding protein; Part of the ABC transporter complex PstSACB involved in phosphate import.
